id,Fecha de nacimiento,tipo cliente,Factura online,Antigüedad Equipo,Plan de datos,facturación,mora,Fecha inicio contrato,minutos,resultado
155,1955-08-07 19:25:39.672,1,0,40,1,283928,29,2017-03-12 08:36:02.223,640,1
159,1964-01-05 01:03:10.837,3,1,10,1,250246,0,2015-12-28 07:42:48.700,1444,0
161,1958-03-24 00:21:42.262,1,1,10,0,242180,34,2017-08-14 14:32:32.064,758,0
162,1962-04-10 08:06:52.087,2,0,38,1,294721,0,2015-09-15 03:32:54.620,1040,0
165,1963-04-17 00:15:18.918,1,1,13,1,421308,62,2017-11-15 01:32:21.935,1281,0
166,1965-09-21 14:48:03.932,3,1,9,0,322250,13,2017-08-13 21:00:27.039,1779,0
168,1952-03-30 16:30:08.467,2,0,40,1,398912,42,2017-12-15 04:01:07.321,2131,1
170,1959-05-07 02:56:19.982,2,1,13,1,150909,16,2016-12-10 12:07:05.427,170,0
173,1951-08-13 00:45:59.515,2,1,21,0,186657,57,2017-08-04 00:54:23.036,657,1
174,1958-08-04 09:35:13.610,1,1,9,1,378762,0,2015-08-13 01:02:47.068,2055,0
175,1951-03-17 06:06:02.683,1,1,16,1,280186,34,2017-08-18 12:26:45.793,1017,0
177,1962-07-02 14:52:25.501,3,1,13,1,255923,0,2015-12-25 05:20:19.558,1691,0
179,1951-07-04 01:59:40.787,2,0,41,1,162711,0,2016-06-10 14:18:01.150,255,0
180,1959-12-09 19:40:22.431,2,0,31,1,245828,1,2017-01-04 14:44:57.320,684,0
181,1943-05-11 01:22:19.560,2,1,10,0,489022,41,2017-11-06 14:11:09.728,1872,1
183,1963-10-02 02:25:48.258,2,0,39,1,392075,1,2017-04-02 15:38:45.657,2055,0
186,1953-03-25 14:02:10.000,2,0,38,1,187803,0,2014-08-12 21:40:15.740,580,0
189,1962-07-11 01:26:59.956,1,0,28,1,361869,38,2017-09-24 20:14:59.146,802,0
190,1959-03-20 20:05:18.219,2,0,35,1,285708,76,2017-12-06 10:43:54.992,1539,0
191,1953-02-12 23:24:56.510,2,1,7,1,288387,11,2017-09-02 17:02:26.538,1331,0
192,1960-08-04 17:00:18.833,1,1,23,0,265959,0,2016-10-28 09:30:01.201,1728,0
193,1965-06-14 18:01:28.943,2,1,5,1,252282,31,2017-05-28 16:50:03.849,1022,0
194,1958-10-31 02:48:36.029,1,1,7,1,443704,33,2017-12-11 16:44:59.881,1993,0
198,1962-11-06 08:23:42.282,1,1,7,1,210590,7,2017-05-02 04:52:33.065,906,0
199,1954-05-31 01:37:28.351,1,1,13,0,207149,0,2016-09-02 13:26:07.555,758,0
202,1956-04-18 05:22:29.144,2,1,9,1,335786,6,2016-12-13 23:59:02.727,818,0
204,1952-12-14 09:24:25.721,3,1,14,0,361668,0,2017-01-04 08:29:08.124,1679,1
206,1949-02-19 09:42:04.226,1,0,44,1,284471,30,2016-12-06 08:17:57.125,1281,1
210,1965-12-25 06:56:19.522,2,0,40,1,207886,4,2016-12-23 15:11:51.750,481,0
211,1963-04-15 11:28:47.664,2,0,45,1,298671,8,2017-06-18 11:20:25.520,796,0
215,1955-08-28 07:10:49.042,2,1,3,1,363646,39,2017-09-26 03:13:19.131,1371,0
216,1961-08-25 14:55:58.398,1,0,45,1,176693,32,2017-08-25 17:07:55.303,1352,0
217,1960-09-24 21:46:24.502,2,0,41,1,250553,0,2016-04-23 11:42:09.772,730,0
218,1965-11-29 07:54:51.829,1,0,44,1,253461,42,2017-11-18 04:52:50.260,995,0
223,1955-10-26 14:46:05.583,1,0,43,1,210398,11,2017-06-01 23:11:44.025,325,0
225,1961-07-19 06:40:54.727,2,0,40,1,418234,2,2017-06-17 09:42:05.562,1350,0
226,1953-10-31 17:22:54.553,3,1,8,1,133884,0,2016-02-23 17:59:46.715,384,0
227,1956-08-03 10:58:46.454,1,0,38,1,434727,0,2016-01-14 01:51:04.269,2389,0
228,1957-12-18 18:10:23.828,1,0,40,1,401411,37,2017-12-30 18:22:15.833,1440,0
235,1951-06-30 22:22:58.830,3,1,16,0,39476,33,2018-03-20 01:18:59.536,539,0
240,1964-01-04 23:27:32.451,2,1,8,0,99539,0,2016-10-29 23:10:03.419,193,0
244,1965-01-30 20:53:57.716,1,0,27,1,240811,102,2018-03-04 14:17:46.506,1245,0
245,1951-05-16 05:10:42.450,1,1,12,0,225459,0,2016-08-27 02:03:16.287,848,0
246,1946-07-26 17:58:12.464,2,0,39,1,185765,33,2017-11-21 18:48:42.584,468,0
248,1956-02-26 22:14:13.331,1,1,10,1,244900,27,2017-08-03 16:19:17.403,547,1
249,1962-09-11 01:25:30.112,1,1,11,1,197307,0,2015-09-05 22:16:28.881,1192,0
251,1963-05-15 01:32:14.427,1,0,46,1,190421,26,2017-06-15 14:22:46.114,412,0
252,1961-05-17 03:43:58.662,2,1,5,1,390217,35,2017-08-07 12:44:05.969,1457,0
253,1959-11-06 08:34:36.163,1,0,44,1,317152,0,2014-12-09 22:49:22.093,804,0
254,1958-10-19 01:23:41.195,2,0,38,1,334085,50,2017-11-16 13:12:50.066,1544,0
255,1948-09-03 01:03:41.415,2,1,6,0,142207,31,2017-10-25 11:34:01.247,124,0
258,1950-04-28 14:32:59.765,1,0,41,1,249212,35,2017-09-26 08:39:18.414,1118,0
263,1958-12-28 02:32:01.372,1,1,3,0,358001,2,2017-06-01 07:45:36.381,674,0
265,1964-08-09 10:33:56.210,2,1,7,1,183842,37,2017-12-17 16:47:11.320,898,0
266,1966-09-20 04:35:10.658,1,1,11,0,337672,44,2017-12-29 11:32:39.102,1237,0
267,1958-09-19 11:25:41.516,3,0,35,1,440491,0,2016-08-30 20:10:07.744,1742,0
268,1962-05-09 03:51:34.203,1,0,47,1,415005,0,2015-08-12 06:02:38.544,1676,0
269,1952-07-13 16:44:52.399,1,0,47,1,446621,6,2016-12-08 22:08:38.384,1279,1
271,1953-07-31 10:59:22.472,1,0,34,1,285092,2,2017-01-21 09:29:33.842,1863,0
274,1953-01-11 05:46:20.521,2,1,11,1,382854,0,2016-08-18 12:44:26.011,1664,1
275,1952-07-13 19:24:24.755,2,0,40,1,383925,0,2015-10-22 22:39:37.060,2273,0
276,1952-05-25 05:33:38.228,1,1,20,0,252190,0,2016-08-11 14:17:49.428,989,0
277,1954-11-27 18:29:48.639,2,1,10,0,288059,33,2017-08-31 02:10:48.769,1234,0
279,1965-02-16 17:52:17.546,1,0,6,1,383075,30,2017-04-30 23:00:18.503,861,1
280,1956-12-02 05:48:39.018,2,1,19,1,276190,1,2017-03-21 15:43:02.336,1185,0
282,1959-09-23 02:06:38.453,1,0,46,1,318738,0,2016-10-01 12:10:05.339,395,0
283,1959-04-11 22:01:21.204,1,0,36,1,330368,48,2017-10-14 10:40:51.856,852,0
284,1958-12-04 22:35:36.319,2,1,12,1,439491,27,2016-12-03 22:46:34.138,2124,1
285,1949-10-31 05:21:13.724,3,1,5,1,218334,35,2018-02-05 00:50:42.961,755,1
287,1963-10-20 19:37:44.789,1,1,30,1,323442,0,2016-06-10 08:06:06.820,1202,0
288,1967-05-14 15:25:11.719,1,0,39,1,297559,30,2017-08-17 21:33:38.965,1648,0
289,1955-09-13 04:48:28.293,2,1,13,1,138812,0,2015-05-01 22:54:56.878,1341,0
290,1953-11-19 00:10:17.063,2,0,44,1,257080,4,2017-02-03 18:22:52.344,849,0
291,1955-07-29 03:54:39.154,2,1,9,1,335039,0,2016-03-21 20:42:45.859,1915,0
292,1956-05-05 22:56:51.299,1,1,12,1,316177,0,2016-03-20 05:19:17.966,937,0
295,1958-10-22 02:20:45.778,3,1,13,0,209993,1,2016-10-30 15:34:49.609,991,0
296,1963-06-20 21:29:16.490,2,0,45,1,253350,1,2017-04-05 15:46:43.843,1380,0
297,1958-09-20 16:46:57.694,1,1,10,1,135531,0,2016-07-22 20:54:47.114,907,0
298,1960-12-11 00:31:10.779,1,0,47,1,280034,34,2017-10-29 14:20:47.632,1487,0
299,1955-12-28 01:10:55.242,2,0,28,1,379164,16,2017-03-04 22:29:45.555,1932,1
300,1954-12-01 09:14:51.710,1,1,4,1,298442,0,2016-06-09 14:52:32.995,1357,0
301,1961-06-03 15:11:52.691,1,0,43,1,352061,0,2015-05-09 17:16:04.534,832,0
305,1961-12-28 00:01:16.882,2,0,46,1,290604,36,2017-06-11 08:03:14.192,961,0
306,1961-05-30 21:53:53.194,1,0,37,1,239726,49,2018-02-26 10:53:09.121,1343,0
311,1949-05-02 09:40:01.570,3,0,46,1,179430,6,2017-08-28 17:54:01.758,407,1
312,1959-09-23 08:32:29.205,1,1,4,0,288952,24,2016-09-30 19:17:28.424,964,0
313,1957-12-23 12:20:15.751,2,0,41,1,162358,0,2015-11-04 23:47:52.041,472,0
314,1958-07-08 12:34:23.786,2,0,40,1,264167,0,2016-02-02 04:04:11.417,1302,0
317,1963-02-06 20:30:52.272,2,1,11,1,189841,6,2017-07-12 10:58:21.145,479,0
319,1957-10-16 00:51:30.909,2,1,18,0,212488,62,2017-09-21 07:58:48.245,1236,1
320,1959-05-22 13:45:16.040,2,1,12,0,297532,104,2017-09-10 05:29:20.676,1076,0
322,1956-05-19 14:23:49.555,2,0,34,1,298812,34,2017-05-16 11:51:51.727,753,1
323,1953-07-07 08:49:41.309,1,1,16,1,249978,0,2016-07-16 11:30:11.428,438,0
326,1954-11-21 01:54:07.914,1,1,7,1,444036,30,2017-07-12 10:37:40.079,2119,1
328,1951-09-10 00:43:24.001,2,1,4,1,171980,23,2016-12-25 18:04:03.049,1302,1
329,1959-01-07 14:03:18.131,1,0,12,1,243842,55,2017-07-27 09:11:16.292,1296,0
332,1949-11-24 07:43:55.533,1,0,43,1,309350,0,2015-06-06 09:17:46.586,917,1
333,1960-08-12 18:01:52.542,2,1,11,0,289758,22,2016-09-14 17:27:42.274,545,0
334,1958-07-13 16:51:17.678,2,0,43,1,315920,0,2015-06-15 11:10:41.133,801,1
337,1951-09-04 20:33:34.647,2,0,42,1,205847,42,2017-10-27 08:48:14.731,7167,0
338,1955-07-15 16:38:18.506,1,0,40,1,128373,0,2015-11-21 16:52:25.305,222,0
339,1955-02-05 17:25:00.708,1,0,29,1,212306,1,2017-02-05 12:06:44.419,1300,0
341,1957-06-24 06:37:41.637,1,0,36,1,197085,0,2016-07-12 04:53:18.396,378,0
343,1958-05-21 14:18:33.294,1,1,4,0,352817,0,2015-11-08 05:49:24.195,1514,0
348,1966-04-01 12:44:31.167,3,1,18,1,168956,0,2016-06-19 02:52:30.179,6206,0
349,1954-07-28 19:19:57.775,2,1,5,1,401507,2,2017-04-08 04:39:06.025,2023,1
350,1958-09-16 21:59:00.562,1,1,8,1,223708,53,2017-10-01 17:24:30.798,864,0
352,1965-02-24 12:34:21.472,1,0,37,1,273453,30,2017-07-31 14:58:27.644,1164,1
356,1957-10-13 13:09:44.236,1,0,45,1,266405,0,2015-12-02 03:22:08.513,1851,0
357,1957-10-17 05:20:54.211,2,1,11,1,313338,12,2017-02-18 19:20:47.338,1616,0
360,1960-04-05 11:24:28.484,1,0,37,1,323187,2,2016-12-02 08:09:36.506,1416,0
361,1957-11-21 08:36:53.145,1,0,44,1,185989,0,2016-01-09 12:38:24.306,1196,0
363,1956-07-31 04:18:20.485,2,0,42,1,136134,0,2015-09-08 09:48:47.059,150,0
364,1946-02-16 01:47:26.651,1,1,21,1,374993,0,2016-07-30 13:44:00.213,2016,0
366,1960-06-14 02:28:01.144,2,1,2,1,157441,29,2017-05-20 03:58:30.487,372,0
369,1957-07-19 01:00:50.515,2,0,33,1,145815,0,2014-06-18 18:02:35.246,417,0
370,1965-06-05 01:39:46.348,1,0,40,1,116372,0,2016-09-03 12:13:29.022,123,0
374,1954-04-09 10:39:07.557,1,0,43,1,234614,36,2017-10-05 11:23:38.483,1647,0
375,1960-08-04 15:19:00.486,1,0,44,1,239569,53,2017-11-22 22:27:35.357,821,0
376,1949-01-06 22:46:00.062,1,0,45,1,269061,0,2015-09-18 05:24:18.492,817,0
378,1954-07-08 03:04:20.917,1,0,45,1,329982,33,2017-12-29 23:14:16.148,1582,0
379,1959-12-31 02:19:20.784,2,1,9,0,263937,0,2016-08-02 20:05:37.600,1640,0
380,1956-07-16 11:26:40.986,2,1,25,0,334787,45,2017-12-24 00:14:08.771,765,0
381,1951-11-28 23:34:54.656,2,0,24,1,188223,11,2017-05-15 04:49:26.959,172,0
382,1956-01-29 02:04:05.471,1,0,31,1,288648,32,2018-02-03 08:55:20.134,10253,1
385,1951-09-24 09:03:27.746,3,0,47,1,357288,32,2017-10-23 11:25:26.843,1803,0
386,1960-07-27 19:23:56.007,1,0,42,1,284730,0,2016-03-05 02:20:21.077,1135,0
388,1965-08-27 02:48:39.583,1,0,36,1,264343,0,2015-10-09 12:33:43.318,1422,0
389,1960-04-13 16:11:58.921,1,0,37,1,469219,53,2017-08-12 02:29:27.138,2641,0
390,1949-01-31 15:08:05.924,1,0,15,1,261260,33,2017-08-31 08:55:30.883,639,0
391,1958-08-12 23:09:20.107,2,1,5,0,307261,61,2018-01-12 15:01:07.217,1321,1
393,1952-05-02 21:15:07.490,1,0,46,1,402620,76,2017-10-20 23:17:58.195,1783,1
394,1955-11-19 00:41:56.764,2,0,40,1,217450,0,2016-08-13 04:21:54.661,1160,1
395,1960-10-19 21:02:40.610,3,1,2,0,314897,31,2017-09-29 19:00:01.546,1572,0
396,1963-12-30 20:30:45.706,1,1,4,0,218497,0,2016-11-09 05:06:37.876,1023,0
402,1958-08-08 22:57:00.965,1,1,3,0,182273,35,2018-01-31 00:47:51.988,1395,0
403,1960-09-06 17:37:09.575,2,1,9,1,357724,49,2017-08-14 20:03:40.409,1489,0
409,1960-07-18 00:19:00.946,2,1,12,0,259074,1,2017-08-23 01:48:23.536,1132,0
410,1961-08-31 14:03:36.443,1,1,1,1,241537,3,2017-04-27 05:35:38.908,1378,0
411,1963-06-10 12:31:58.112,1,1,8,1,362430,0,2016-05-05 01:53:12.675,1635,0
412,1954-01-26 23:18:40.424,2,1,5,0,301433,33,2017-10-04 14:04:37.845,891,0
414,1950-10-31 18:00:27.745,1,1,3,1,330690,31,2017-10-27 10:33:55.371,1448,0
415,1961-11-20 14:27:21.423,2,0,43,1,181472,31,2018-02-12 01:15:20.638,1131,0
416,1962-11-01 18:37:35.246,3,1,9,0,360918,33,2017-10-21 23:17:08.756,1746,0
417,1962-04-06 23:12:08.557,2,0,36,1,157125,0,2016-10-01 20:38:59.130,1210,0
418,1962-01-19 21:18:36.126,2,0,22,1,454495,50,2017-09-10 18:22:00.017,1773,0
422,1957-11-28 20:38:07.774,1,1,11,0,331427,13,2017-03-16 09:58:58.259,1772,0
423,1956-11-05 13:52:05.398,1,0,36,1,116044,31,2018-05-11 14:07:09.218,1091,0
424,1956-07-15 20:16:52.297,1,0,43,1,217999,32,2018-05-09 01:10:52.516,902,0
425,1946-11-03 22:28:07.562,2,1,10,0,181151,40,2017-09-20 13:44:22.864,363,0
426,1955-07-08 01:55:50.888,2,1,9,1,80873,3,2017-02-17 14:37:40.078,515,0
427,1960-02-23 02:47:24.555,3,1,7,1,382545,0,2016-05-08 05:00:18.854,838,0
428,1962-04-19 08:26:30.542,2,1,8,0,261838,14,2017-04-16 22:19:27.298,983,0
429,1956-09-01 12:10:01.618,1,1,5,0,358775,22,2017-03-20 10:29:03.322,1122,1
431,1966-02-15 04:14:57.908,2,0,40,1,99964,43,2017-08-10 17:07:43.891,261,0
432,1950-04-03 06:32:53.785,1,0,37,1,241835,0,2016-02-28 02:59:28.808,1235,0
436,1955-11-10 13:29:41.298,2,1,10,0,285542,41,2017-10-28 02:36:59.802,1223,0
437,1951-03-11 01:27:23.014,2,0,43,1,303566,0,2016-02-02 18:42:16.535,960,0
438,1952-07-01 03:50:05.328,2,0,44,1,333561,0,2014-10-25 19:05:33.343,1045,0
439,1956-06-13 13:03:07.729,2,1,16,1,161005,50,2018-09-03 13:40:22.725,496,0
440,1961-07-25 23:24:54.730,2,0,40,1,222708,1,2017-08-28 07:16:46.844,231,0
444,1961-11-02 01:54:30.227,1,0,40,1,396400,0,2016-06-11 18:27:25.748,1978,0
446,1956-06-14 21:17:18.192,1,0,31,1,276173,46,2017-09-28 20:56:26.363,1259,0
447,1961-10-15 13:12:12.828,2,0,38,1,209803,16,2017-07-18 14:55:35.884,966,0
448,1964-06-27 21:12:31.802,1,0,39,1,233147,58,2017-07-22 13:40:38.096,865,0
449,1961-03-15 21:18:43.664,1,0,42,1,336712,0,2016-12-27 20:14:43.267,1268,0
451,1952-04-01 16:31:15.818,3,1,5,1,203329,4,2017-03-11 05:19:34.129,745,0
452,1960-12-19 00:44:03.611,2,1,10,1,152860,9,2017-03-19 21:46:11.746,525,0
454,1963-08-01 11:53:36.217,2,1,8,0,169162,0,2016-02-12 09:55:24.359,1243,0
456,1953-01-07 11:10:56.377,1,1,17,1,304065,5,2017-06-07 02:58:48.592,1992,0
458,1959-09-11 06:58:05.171,2,1,7,1,390272,43,2017-09-30 06:58:21.701,1047,0
459,1963-10-12 06:54:32.443,2,0,37,1,408766,102,2018-01-01 09:43:40.305,1461,0
460,1960-03-17 00:42:56.478,1,1,3,1,122410,3,2017-02-19 21:22:29.454,134,0
461,1968-11-11 15:01:14.338,3,1,8,1,288581,7,2017-06-12 15:35:55.541,1693,0
463,1961-03-30 13:35:13.577,2,1,24,1,181710,0,2016-06-10 20:13:44.469,978,0
465,1957-06-04 13:31:06.742,3,0,33,1,424524,0,2014-08-09 06:59:05.057,2293,1
466,1953-12-04 22:32:38.811,2,1,7,1,262734,2,2017-01-03 00:07:16.628,1533,0
469,1955-01-03 15:11:58.868,1,1,2,1,286039,47,2018-03-28 04:31:09.741,1050,1
470,1954-06-01 12:15:55.664,1,0,27,1,330944,0,2016-08-19 01:43:29.625,1151,0
471,1958-05-21 06:17:03.094,1,0,44,1,243790,0,2016-02-14 22:24:37.201,1778,0
472,1957-09-14 04:51:56.772,1,0,41,1,219991,32,2017-05-05 08:08:31.285,877,0
473,1954-08-02 11:17:37.531,1,0,31,1,234901,0,2016-02-15 08:32:29.373,973,1
476,1954-11-26 23:36:55.737,3,0,39,1,282706,62,2017-08-06 08:01:41.384,1883,1
477,1964-10-11 14:47:49.700,2,1,9,1,282197,0,2016-05-10 06:56:57.689,1949,0
478,1957-04-12 01:16:14.283,2,0,36,1,151891,0,2016-08-29 12:19:25.266,346,0
480,1955-02-15 04:21:18.480,2,0,40,1,294008,37,2017-09-13 14:52:55.978,1225,0
481,1954-09-15 00:13:45.285,1,0,30,1,196508,1,2017-06-17 02:09:00.270,756,0
482,1950-03-01 14:07:57.447,1,1,11,1,427405,89,2018-06-24 06:39:03.675,1860,1
485,1966-09-14 10:47:47.063,3,0,37,1,346044,0,2016-08-01 11:03:31.150,1253,0
490,1956-04-21 10:25:09.169,1,0,43,1,80894,35,2018-05-22 04:26:53.530,435,0
491,1962-03-17 13:04:18.172,2,1,9,0,202810,0,2016-10-07 21:50:38.538,1351,0
493,1952-04-04 23:10:14.885,1,0,4,1,342265,11,2017-08-17 06:50:07.401,2078,0
496,1957-10-23 09:28:30.190,1,1,17,0,228204,0,2015-10-05 19:14:19.073,500,0
498,1953-10-19 21:32:34.144,2,0,34,1,252635,55,2017-04-30 19:34:29.171,861,1
500,1952-12-06 10:19:04.048,1,0,44,1,137364,0,2015-12-17 14:32:48.509,759,0
502,1961-05-25 03:45:21.980,2,0,38,1,215306,0,2016-05-20 06:15:58.557,1192,0
